,Name,Team,Opponent,Hmcrt_adv,IP,H,R,ER,BB,SO,HR,ERA,Pit,Str,Ctct,StS,StL,GB,FB,GSc,WPA,aLI,cWPA,acLI,RE24,PO,Date
10,D.Cease,San Diego Padres,Chicago Cubs,0, 7 ,1,0,0,2,12,0,2.19,113,69,26,23,20,3,6,85,0.414,0.95,0.23,0.88,3.8,21,508
11,H.Wesneski,Chicago Cubs,San Diego Padres,1, 6 ,7,3,3,1,3,0,1.59,94,62,34,8,20,8,14,48,-0.048,0.88,-0.03,1.08,-0.1,18,508
12,R.Weathers,Miami Marlins,Los Angeles Dodgers,0, 6 ,5,3,3,1,3,1,4.54,97,61,35,7,19,8,11,52,-0.058,0.86,-0.00,0.10,0.2,18,508
13,G.Stone,Los Angeles Dodgers,Miami Marlins,1, 7 ,6,1,1,0,4,1,3.55,89,63,46,7,10,10,12,65,0.325,1.03,0.23,1.23,2.8,21,508
14,M.Lorenzen,Texas Rangers,Oakland Athletics,0, 6 ,9,6,6,2,6,2,4.66,107,67,41,9,17,4,15,34,-0.472,0.99,-0.35,1.21,-3.2,18,508
15,J.Sears,Oakland Athletics,Texas Rangers,1, 5.2,7,4,4,1,3,2,4.20,88,56,40,5,11,12,10,41,-0.181,1.12,-0.09,0.95,-1.4,17,508
16,J.Montgomery,Arizona Diamondbacks,Cincinnati Reds,0, 7 ,7,2,2,2,2,0,4.70,95,61,34,9,18,10,14,55,0.262,1.29,0.12,0.95,1.8,21,508
17,G.Ashcraft,Cincinnati Reds,Arizona Diamondbacks,1, 5 ,6,3,3,3,2,0,3.86,86,56,42,6,8,8,10,42,-0.068,1.48,-0.03,1.12,-0.3,15,508
18,K.Bradish,Baltimore Orioles,Washington Nationals,0, 5 ,4,1,1,2,9,0,1.86,90,56,25,12,19,5,5,62,0.160,1.30,0.11,1.52,1.5,15,508
19,M.Parker,Washington Nationals,Baltimore Orioles,1, 5.2,5,2,2,1,3,2,2.67,77,53,33,7,13,8,9,53,0.042,0.96,0.02,0.85,0.9,17,508
20,C.Flexen,Chicago White Sox,Tampa Bay Rays,0, 6 ,3,1,1,1,8,0,4.29,96,58,30,11,17,0,12,69,0.203,0.97,0.01,0.07,2.0,18,508
21,A.Civale,Tampa Bay Rays,Chicago White Sox,1, 4.2,5,2,2,2,4,1,5.88,82,49,27,8,14,2,12,48,-0.060,0.97,-0.03,0.78,0.1,14,508
22,S.Arrighetti,Houston Astros,New York Yankees,0, 5 ,8,5,5,3,4,3,8.44,88,56,34,6,16,7,11,32,-0.290,0.70,-0.06,0.24,-2.4,15,508
23,C.Rodon,New York Yankees,Houston Astros,1, 6.1,7,2,2,0,7,1,3.56,100,69,37,16,16,7,12,58,0.148,0.79,0.11,0.96,0.7,19,508
24,N.Pivetta,Boston Red Sox,Atlanta Braves,0, 4 ,7,5,5,1,1,3,3.60,58,39,28,5,6,8,9,28,-0.279,0.44,-0.15,0.39,-2.8,12,508
25,C.Sale,Atlanta Braves,Boston Red Sox,1, 6 ,6,0,0,1,10,0,2.95,103,69,32,17,20,7,7,69,0.202,0.77,0.13,0.83,3.3,18,508
26,G.Kirby,Seattle Mariners,Minnesota Twins,0, 5 ,4,4,4,1,4,3,4.15,70,49,30,5,14,4,11,46,-0.198,0.47,-0.13,0.54,-1.4,15,508
27,C.Paddack,Minnesota Twins,Seattle Mariners,1, 5.1,8,1,1,1,10,1,4.34,99,70,38,17,15,7,7,57,0.161,1.07,0.11,1.19,1.6,16,508
28,J.Hicks,San Francisco Giants,Colorado Rockies,0, 5 ,7,3,3,2,5,0,2.30,92,59,34,12,13,6,10,44,0.059,0.72,0.03,0.50,-0.0,15,508
29,P.Lambert,Colorado Rockies,San Francisco Giants,1, 3 ,9,7,7,0,2,1,7.61,67,42,22,5,15,5,12,15,-0.366,0.73,-0.03,0.10,-5.2,9,508
